NOC,NOC_Code,Year,Target,Gold,Silver,Bronze,Lag1_Medals,Lag2_Medals,Lag3_Medals,Weighted_Avg_3,EWMA_Score,Lag1_EWMA,Momentum,Squad_Size,Lag1_Squad_Size,Events_Participated,Sports_Participated,Female_Ratio,Efficiency,Lag1_Efficiency,Event_Coverage,Gold_Ratio,Is_Host,Is_Next_Host,Time_Since_Last_Host,Total_Events,Region,Is_Post_1992,Is_Boycott_Year,Historical_Weight
Afghanistan,AFG,2008,1,0,0,1,,,,,1.0,,,4.0,,4.0,2.0,0.25,0.25,,0.013245033112582781,0.0,0,0,999,302,Other,1,0,1.0
Afghanistan,AFG,2012,1,0,0,1,1.0,,,1.0,1.0,1.0,0.0,6.0,4.0,6.0,4.0,0.16666666666666666,0.16666666666666666,0.25,0.019867549668874173,0.0,0,0,999,302,Other,1,0,1.0
Albania,ALB,2024,2,0,0,2,,,,,2.0,,,8.0,,9.0,4.0,0.4444444444444444,0.25,,0.02735562310030395,0.0,0,0,999,329,Other,1,0,1.0
Algeria,ALG,1984,2,0,0,2,,,,,2.0,,,33.0,,17.0,4.0,0.0,0.06060606060606061,,0.07692307692307693,0.0,0,0,999,221,Africa,0,0,0.7
Algeria,ALG,1992,2,1,0,1,,2.0,,2.0,2.0,,,35.0,,27.0,7.0,0.05555555555555555,0.05714285714285714,,0.10505836575875487,0.5,0,0,999,257,Africa,0,0,1.0
Algeria,ALG,1996,3,2,0,1,2.0,,2.0,2.0,2.4000000000000004,2.0,1.0,45.0,35.0,29.0,9.0,0.1276595744680851,0.06666666666666667,0.05714285714285714,0.1070110701107011,0.6666666666666666,0,0,999,271,Africa,1,0,1.0
Algeria,ALG,2000,5,1,1,3,3.0,2.0,,2.625,3.4400000000000004,2.4000000000000004,2.0,47.0,45.0,42.0,10.0,0.19607843137254902,0.10638297872340426,0.06666666666666667,0.14,0.2,0,0,999,300,Africa,1,0,1.0
Algeria,ALG,2008,2,0,1,1,,5.0,3.0,4.2,2.864,,,56.0,,44.0,12.0,0.38596491228070173,0.03571428571428571,,0.1456953642384106,0.0,0,0,999,302,Africa,1,0,1.0
Algeria,ALG,2012,1,1,0,0,2.0,,5.0,2.857142857142857,2.1184,2.864,-1.0,38.0,56.0,29.0,12.0,0.4358974358974359,0.02631578947368421,0.03571428571428571,0.09602649006622517,1.0,0,0,999,302,Africa,1,0,1.0
Algeria,ALG,2016,2,0,2,0,1.0,2.0,,1.375,2.07104,2.1184,1.0,64.0,38.0,48.0,13.0,0.17567567567567569,0.03125,0.02631578947368421,0.1568627450980392,0.0,0,0,999,306,Africa,1,0,1.0
Algeria,ALG,2024,3,2,0,1,,2.0,1.0,1.6,2.4426240000000004,,,46.0,,47.0,15.0,0.509090909090909,0.06521739130434782,,0.14285714285714285,0.6666666666666666,0,0,999,329,Africa,1,0,1.0
Argentina,ARG,1924,6,1,3,2,,,,,6.0,,,77.0,,39.0,11.0,0.0,0.07792207792207792,,0.30952380952380953,0.16666666666666666,0,0,999,126,Americas,0,0,0.7
Argentina,ARG,1928,7,3,3,1,6.0,,,6.0,6.4,6.0,1.0,81.0,77.0,40.0,12.0,0.0,0.08641975308641975,0.07792207792207792,0.3669724770642202,0.42857142857142855,0,0,999,109,Americas,0,0,0.7
Argentina,ARG,1936,7,2,2,3,,7.0,6.0,6.6000000000000005,6.640000000000001,,,51.0,,31.0,8.0,0.014705882352941176,0.13725490196078433,,0.24031007751937986,0.2857142857142857,0,0,999,129,Americas,0,0,0.7
Argentina,ARG,1948,7,3,3,1,7.0,,7.0,7.000000000000001,6.784000000000001,6.640000000000001,0.0,199.0,51.0,101.0,16.0,0.06779661016949153,0.035175879396984924,0.13725490196078433,0.7426470588235294,0.42857142857142855,0,0,999,136,Americas,0,0,0.7
Argentina,ARG,1952,5,1,2,2,7.0,7.0,,6.999999999999999,6.0704,6.784000000000001,-2.0,123.0,199.0,77.0,15.0,0.10344827586206896,0.04065040650406504,0.035175879396984924,0.5167785234899329,0.2,0,0,999,149,Americas,0,0,0.7
Argentina,ARG,1956,2,0,1,1,5.0,7.0,7.0,6.0,4.44224,6.0704,-3.0,35.0,123.0,32.0,9.0,0.022727272727272728,0.05714285714285714,0.04065040650406504,0.2119205298013245,0.0,0,0,999,151,Americas,0,0,0.7
Argentina,ARG,1964,1,0,1,0,,2.0,5.0,3.2,3.0653439999999996,,,102.0,,78.0,14.0,0.07432432432432433,0.00980392156862745,,0.4785276073619632,0.0,0,0,999,163,Americas,0,0,0.7
Argentina,ARG,1968,2,0,0,2,1.0,,2.0,1.2857142857142858,2.6392064,3.0653439999999996,1.0,89.0,102.0,60.0,12.0,0.06818181818181818,0.02247191011235955,0.00980392156862745,0.3488372093023256,0.0,0,0,999,172,Americas,0,0,0.7
Argentina,ARG,1972,1,0,1,0,2.0,1.0,,1.625,1.9835238400000001,2.6392064,-1.0,92.0,89.0,62.0,12.0,0.08130081300813008,0.010869565217391304,0.02247191011235955,0.31794871794871793,0.0,0,0,999,195,Americas,0,0,0.7
Argentina,ARG,1988,2,0,1,1,,,,,1.990114304,,,118.0,,53.0,18.0,0.23880597014925373,0.01694915254237288,,0.22362869198312235,0.0,0,0,999,237,Americas,0,0,0.7
Argentina,ARG,1992,1,0,0,1,2.0,,,2.0,1.5940685823999998,1.990114304,-1.0,84.0,118.0,68.0,17.0,0.26126126126126126,0.011904761904761904,0.01694915254237288,0.26459143968871596,0.0,0,0,999,257,Americas,0,0,1.0
Argentina,ARG,1996,3,0,2,1,1.0,2.0,,1.375,2.15644114944,1.5940685823999998,2.0,179.0,84.0,102.0,20.0,0.31221719457013575,0.01675977653631285,0.011904761904761904,0.3763837638376384,0.0,0,0,999,271,Americas,1,0,1.0
Argentina,ARG,2000,4,0,2,2,3.0,1.0,2.0,2.2,2.8938646896640003,2.15644114944,1.0,142.0,179.0,98.0,21.0,0.3151515151515151,0.028169014084507043,0.01675977653631285,0.32666666666666666,0.0,0,0,999,300,Americas,1,0,1.0
Argentina,ARG,2004,6,2,0,4,4.0,3.0,1.0,3.1,4.1363188137984,2.8938646896640003,2.0,151.0,142.0,86.0,22.0,0.30726256983240224,0.039735099337748346,0.028169014084507043,0.2857142857142857,0.3333333333333333,0,0,999,301,Americas,1,0,1.0
Argentina,ARG,2008,6,2,0,4,6.0,4.0,3.0,4.800000000000001,4.88179128827904,4.1363188137984,0.0,131.0,151.0,71.0,19.0,0.38620689655172413,0.04580152671755725,0.039735099337748346,0.23509933774834438,0.3333333333333333,0,0,999,302,Americas,1,0,1.0
Argentina,ARG,2012,4,1,1,2,6.0,6.0,4.0,5.6,4.529074772967425,4.88179128827904,-2.0,137.0,131.0,66.0,23.0,0.30405405405405406,0.029197080291970802,0.04580152671755725,0.2185430463576159,0.25,0,0,999,302,Americas,1,0,1.0
Argentina,ARG,2016,4,3,1,0,4.0,6.0,6.0,5.0,4.317444863780455,4.529074772967425,0.0,215.0,137.0,80.0,26.0,0.35344827586206895,0.018604651162790697,0.029197080291970802,0.26143790849673204,0.75,0,0,999,306,Americas,1,0,1.0
Argentina,ARG,2020,3,0,1,2,4.0,4.0,6.0,4.4,3.7904669182682733,4.317444863780455,-1.0,189.0,215.0,61.0,31.0,0.32211538461538464,0.015873015873015872,0.018604651162790697,0.17994100294985252,0.0,0,0,999,339,Americas,1,0,1.0
Argentina,ARG,2024,3,1,1,1,3.0,4.0,4.0,3.5,3.474280150960964,3.7904669182682733,0.0,143.0,189.0,41.0,25.0,0.2532467532467532,0.02097902097902098,0.015873015873015872,0.12462006079027356,0.3333333333333333,0,0,999,329,Americas,1,0,1.0
Argentina ,ARG,1932,4,3,1,0,,,,,4.0,,,33.0,,30.0,7.0,0.0,0.12121212121212122,,0.2564102564102564,0.75,0,0,999,117,Other,0,0,0.7
Argentina ,ARG,1960,2,0,1,1,,,,,3.2,,,92.0,,54.0,15.0,0.008620689655172414,0.021739130434782608,,0.36,0.0,0,0,999,150,Other,0,0,0.7
Armenia,ARM,1996,2,1,1,0,,,,,2.0,,,32.0,,36.0,11.0,0.05263157894736842,0.0625,,0.13284132841328414,0.5,0,0,999,271,Ex-USSR,1,0,1.0
Armenia,ARM,2000,1,0,0,1,2.0,,,2.0,1.6,2.0,-1.0,25.0,32.0,26.0,10.0,0.07692307692307693,0.04,0.0625,0.08666666666666667,0.0,0,0,999,300,Ex-USSR,1,0,1.0
Armenia,ARM,2008,5,0,1,4,,1.0,2.0,1.4,2.96,,,24.0,,24.0,7.0,0.07692307692307693,0.20833333333333334,,0.07947019867549669,0.0,0,0,999,302,Ex-USSR,1,0,1.0
Armenia,ARM,2012,2,0,1,1,5.0,,1.0,3.8571428571428577,2.576,2.96,-3.0,24.0,24.0,30.0,9.0,0.12903225806451613,0.08333333333333333,0.20833333333333334,0.09933774834437085,0.0,0,0,999,302,Ex-USSR,1,0,1.0
Armenia,ARM,2016,4,1,3,0,2.0,5.0,,3.125,3.1456,2.576,2.0,31.0,24.0,32.0,8.0,0.29411764705882354,0.12903225806451613,0.08333333333333333,0.10457516339869281,0.25,0,0,999,306,Ex-USSR,1,0,1.0
Armenia,ARM,2020,4,0,2,2,4.0,2.0,5.0,3.6,3.48736,3.1456,0.0,17.0,31.0,19.0,8.0,0.15789473684210525,0.23529411764705882,0.12903225806451613,0.05604719764011799,0.0,0,0,999,339,Ex-USSR,1,0,1.0
Armenia,ARM,2024,4,0,3,1,4.0,4.0,2.0,3.6,3.6924159999999997,3.48736,0.0,15.0,17.0,16.0,7.0,0.11764705882352941,0.26666666666666666,0.23529411764705882,0.0486322188449848,0.0,0,0,999,329,Ex-USSR,1,0,1.0
Australasia,ANZ,1908,5,1,2,2,,,,,5.0,,,30.0,,20.0,6.0,0.0,0.16666666666666666,,0.18181818181818182,0.2,0,0,999,110,Other,0,0,0.7
Australasia,ANZ,1912,7,2,2,3,5.0,,,5.0,5.800000000000001,5.0,2.0,25.0,30.0,17.0,4.0,0.05263157894736842,0.28,0.16666666666666666,0.16666666666666666,0.2857142857142857,0,0,999,102,Other,0,0,0.7
Australia,AUS,1896,2,2,0,0,,,,,2.0,,,1.0,,5.0,2.0,0.0,2.0,,0.11627906976744186,1.0,0,0,999,43,Oceania,0,0,0.7
Australia,AUS,1900,5,2,0,3,2.0,,,2.0,3.2,2.0,3.0,2.0,1.0,6.0,2.0,0.0,2.5,2.0,0.061855670103092786,0.4,0,0,999,97,Oceania,0,0,0.7
Australia,AUS,1904,4,0,3,1,5.0,2.0,,3.875,3.52,3.2,-1.0,2.0,2.0,6.0,2.0,0.0,2.0,2.5,0.06315789473684211,0.0,0,0,999,95,Oceania,0,0,0.7
Australia,AUS,1920,3,0,2,1,,,4.0,4.0,3.3120000000000003,,,13.0,,19.0,5.0,0.10344827586206896,0.23076923076923078,,0.12179487179487179,0.0,0,0,999,156,Oceania,0,0,0.7
Australia,AUS,1924,6,3,1,2,3.0,,,3.0,4.3872,3.3120000000000003,3.0,36.0,13.0,31.0,9.0,0.016666666666666666,0.16666666666666666,0.23076923076923078,0.24603174603174602,0.5,0,0,999,126,Oceania,0,0,0.7
Australia,AUS,1928,4,1,2,1,6.0,3.0,,4.875,4.23232,4.3872,-2.0,18.0,36.0,26.0,6.0,0.2413793103448276,0.2222222222222222,0.16666666666666666,0.23853211009174313,0.25,0,0,999,109,Oceania,0,0,0.7
Australia,AUS,1936,1,0,0,1,,4.0,6.0,4.800000000000001,2.939392,,,32.0,,26.0,7.0,0.15384615384615385,0.03125,,0.20155038759689922,0.0,0,0,999,129,Oceania,0,0,0.7
Australia,AUS,1948,13,2,6,5,1.0,,4.0,1.8571428571428574,6.9636352,2.939392,12.0,75.0,32.0,52.0,11.0,0.17475728155339806,0.17333333333333334,0.03125,0.38235294117647056,0.15384615384615385,0,0,999,136,Oceania,0,0,0.7
Australia,AUS,1952,11,6,2,3,13.0,1.0,,8.5,8.57818112,6.9636352,-2.0,81.0,75.0,67.0,12.0,0.12857142857142856,0.13580246913580246,0.17333333333333334,0.44966442953020136,0.5454545454545454,0,1,999,149,Oceania,0,0,0.7
Australia,AUS,1956,35,13,8,14,11.0,13.0,1.0,9.6,19.146908672,8.57818112,24.0,298.0,81.0,143.0,19.0,0.17233009708737865,0.1174496644295302,0.13580246913580246,0.9470198675496688,0.37142857142857144,1,0,999,151,Oceania,0,0,0.7
